Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[7, 11, 8, 4, 18]	[[-53.958, 80.358], '0', '0', '1', '0']	-2.6678999999999995;4.047899999999999	0.9537946413877094	0.9537946413877094	1	338.99405919697944	4991	0	0.25	338.99405919697944	67	67	19	19	1	Covering
[7, 11, 8, 4, 18, 10]	[[145.8975, 457.7025], '0', '1', '0', '0', '0']	6.4724;14.1476	0.661621283572503	0.661621283572503	1	289.9484900331765	4942	2	0.3	262.1856125414706	194	257	56	74	1	Covering
[7, 11, 8, 4, 18, 10, 13]	[[-160.08749999999998, 199.6875], '0', '0', '0', '0', '0', '1']	-2.84765;4.66765	0.579672076726036	0.579672076726036	1	300.68619073186744	4952	9	0.35	300.68619073186744	155	250	45	73	1	Covering
[7, 11, 8, 4, 18, 10, 13]	[[53.449499999999986, 211.7505], '0', '1', '0', '0', '0', '0']	-1.0064499999999992;10.346449999999999	0.8974705870856785	0.8974705870856785	1	275.5656915590688	4866	10	0.35	275.5656915590688	112	112	32	32	1	Covering
[7, 11, 8, 4, 18]	[[-56.0235, 188.62349999999998], '0', '1', '1', '1']	-1.9372499999999997;6.85725	0.8821462074510855	0.8821462074510855	1	245.92522036832673	4927	13	0.25	245.92522036832673	25	25	7	7	1	Covering
[7, 11]	[[-53.058, 81.258], '0']	-4.077;5.5169999999999995	0.921147015428332	0.921147015428332	1	332.53513122899216	4991	16	0.1	332.53513122899216	717	717	206	206	1	Covering
[7, 11, 8, 4, 18]	[[44.739, 169.46099999999998], '0', '1', '1', '0']	0.4621000000000004;7.177899999999999	0.9473281912306303	0.9473281912306303	3	219.21030503838364	4921	23	0.25	657.6309151151509	31	31	9	9	1	Covering
[7, 15]	[[243.10199999999998, 530.37], '0']	12.3613;16.5187	0.4632389509498481	0.4632389509498481	1	245.35177772055476	4956	27	0.1	245.35177772055476	750	1513	215	436	1	GA_MutationC_RangeError
[7, 15]	[[346.54949999999997, 504.8505], '0']	12.3613;16.5187	0.8144039621537653	0.8144039621537653	1	244.9596992100416	4956	27	0.1	244.9596992100416	750	861	215	248	1	GA_MutationC
[7]	[[205.29449999999997, 507.5055]]	8.1325;16.1275	0.750107689441003	0.750107689441003	2	299.6330521862107	4998	28	0.05	548.5826304655268	2447	2842	712	829	1	Covering
[7, 11]	[[94.60199999999998, 518.4217595293984], '0']	5.6419999999999995;12.038	0.4428798026699645	0.4428798026699645	1	287.97005383992024	4993	36	0.1	259.7125672999003	1810	3702	528	1074	1	GA_MutationC
[17]	['0']	5.6419999999999995;12.038	0.3637499486694791	0.3637499486694791	1	302.02259998001654	4980	36	0.05	277.2782499750207	1292	3215	376	929	1	GA_MutationC
[7, 15]	[[-45.269999999999996, 81.258], '1']	-4.077;5.5169999999999995	0.9246824938663588	0.9246824938663588	1	343.5187893250005	4970	46	0.1	343.5187893250005	279	279	78	78	1	GA_MutationC
[7, 11, 4, 18, 3]	[[-45.269999999999996, 248.2935], '0', '0', '1', '0']	-2.026949999999999;7.726949999999999	0.8471175310840461	0.8471175310840461	1	293.49310060129517	4972	51	0.25	293.49310060129517	196	203	57	59	1	GA_MutationC
[7, 11, 8, 18, 3]	[[-45.269999999999996, 248.2935], '0', '0', '1', '0']	-2.026949999999999;7.726949999999999	0.8222034952400805	0.8222034952400805	1	322.1810654880836	4820	51	0.25	322.1810654880836	144	155	42	45	1	GA_MutationC
[7, 6]	[[243.10199999999998, 504.8505], '0']	12.3613;16.5187	0.4704066644216741	0.4704066644216741	1	245.4470277680129	4990	53	0.1	245.4470277680129	1075	2138	313	624	1	GA_CrossoverC_MutationC
[7, 11, 8, 4]	[[-45.269999999999996, 77.655], '1', '0', '0']	-4.077;3.7978999999999994	0.9573113003319382	0.9573113003319382	1	280.6524162222762	4977	54	0.2	280.6524162222762	46	46	13	13	1	GA_CrossoverP
[7, 15, 6]	[[-45.269999999999996, 113.71991414946034], '1', '0']	-2.9178999999999995;5.5169999999999995	0.9358243565149567	0.9358243565149567	1	327.3700510163514	4970	54	0.15	327.3700510163514	318	318	89	89	1	GA_CrossoverP_MutationC
[7, 11, 10]	[[-45.269999999999996, 420.798], '1', '0']	5.6419999999999995;12.038	0.40082744022706507	0.40082744022706507	1	237.2744094260822	4896	58	0.15	237.2744094260822	140	310	41	91	1	GA_CrossoverC_MutationC
[7]	[[115.55099999999999, 278.649]]	1.3422000000000005;8.3778	0.7142315352717936	0.7142315352717936	1	297.950105590635	4993	58	0.05	272.1876319882938	1349	1711	393	498	1	GA_CrossoverC_MutationC
[7, 13]	[[-45.269999999999996, 81.258], '0']	-4.077;5.5169999999999995	0.9266318972293464	0.9266318972293464	1	344.39307667239024	4977	78	0.1	344.39307667239024	375	375	109	109	1	GA_MutationC
[7, 11]	[[-45.269999999999996, 81.258], '0']	-4.077;5.5169999999999995	0.9214106814331773	0.9214106814331773	2	332.53513122899216	4991	78	0.1	665.0702624579843	709	709	206	206	1	GA_MutationC
[7, 10]	[[346.54949999999997, 504.8505], '0']	12.3613;16.5187	0.8435403592762717	0.8435403592762717	2	250.70324789195	4990	79	0.1	501.4064957839	983	1089	287	319	1	GA_CrossoverP_MutationC
[7, 1]	[[346.54949999999997, 504.8505], '0']	12.3613;16.5187	0.8383703398293287	0.8383703398293287	2	245.9951979461108	4990	79	0.1	491.9903958922216	752	838	222	248	1	GA_CrossoverP_MutationC
[7, 12]	[[94.60199999999998, 400.94560846717894], '0']	5.6419999999999995;12.038	0.5630784664579883	0.5630784664579883	1	240.55167562593022	4980	83	0.1	240.55167562593022	824	1323	243	389	1	GA_CrossoverC_MutationC
[10, 7]	['0', [277.8585, 464.94149999999996]]	12.3613;16.5187	0.5334509186165881	0.5334509186165881	1	241.119299218423	4962	95	0.1	241.119299218423	813	1436	239	424	1	GA_CrossoverP_MutationC
[9]	['0']	12.3613;16.5187	0.22554952080977753	0.22554952080977753	1	292.53239465962645	4990	95	0.05	265.41549332453303	992	4120	291	1208	1	GA_CrossoverP_MutationC
[7, 11, 10, 3]	[[-45.269999999999996, 420.798], '1', '0', '2']	5.6419999999999995;12.038	0.42305852922782616	0.42305852922782616	1	243.23708678574445	4896	108	0.2	243.23708678574445	27	58	8	17	1	GA_MutationC
[7]	[[162.3375, 282.2625]]	5.6419999999999995;12.038	0.9152433486187723	0.9152433486187723	1	323.8386114476613	4993	108	0.05	304.54826430957667	1241	1241	367	367	1	GA_MutationC
[7, 15, 0]	[[-45.269999999999996, 113.71991414946034], '1', '0']	-2.9178999999999995;5.5169999999999995	0.9327686947199142	0.9327686947199142	1	334.20901385402	4970	109	0.15	334.20901385402	120	120	35	35	1	GA_MutationC
[7, 6, 11]	[[-45.269999999999996, 113.71991414946034], '0', '0']	-2.9178999999999995;5.5169999999999995	0.9355572574656035	0.9355572574656035	1	329.3191629993693	4991	109	0.15	329.3191629993693	881	881	256	256	1	GA_MutationC
[7]	[[59.76450000000001, 266.0355]]	1.3422000000000005;8.3778	0.8055507132902946	0.8055507132902946	2	310.3971517714011	4993	114	0.05	575.4928794285029	1934	2166	567	635	1	GA_CrossoverP_MutationC
[7, 3]	[[346.54949999999997, 504.8505], '0']	12.3613;16.5187	0.818773332431869	0.818773332431869	1	260.8574324635455	4920	118	0.1	260.8574324635455	335	383	97	111	1	GA_CrossoverP_MutationC
[7, 8, 4, 13, 6]	[[-45.269999999999996, 80.358], '0', '1', '1', '0']	-2.6678999999999995;4.047899999999999	0.9404009202179934	0.9404009202179934	1	305.37137294231906	4991	126	0.25	305.37137294231906	50	50	14	14	1	GA_MutationC
[7, 11, 8, 4, 18]	[[-45.269999999999996, 80.358], '0', '0', '1', '0']	-2.6678999999999995;4.047899999999999	0.9547951022020341	0.9547951022020341	1	338.9940625194298	4991	126	0.25	338.9940625194298	65	65	19	19	1	GA_MutationC
[7, 11, 4, 9]	[[-45.269999999999996, 77.655], '1', '0', '0']	-2.9178999999999995;3.7978999999999994	0.9603558027338515	0.9603558027338515	1	270.66418898390265	4977	131	0.2	270.66418898390265	49	49	14	14	1	GA_MutationC
[7, 11, 8, 5]	[[-45.269999999999996, 77.655], '1', '0', '1']	-4.077;3.7978999999999994	0.9551546105204642	0.9551546105204642	1	277.9597578644219	4977	131	0.2	277.9597578644219	31	31	9	9	1	GA_MutationC
[0]	['1']	12.3613;16.5187	0.24358778102680534	0.24358778102680534	1	256.6187589909976	4990	134	0.05	256.6187589909976	584	2251	173	666	1	GA_CrossoverC_MutationC
[2]	['0']	8.1325;16.1275	0.43103190381142265	0.43103190381142265	1	297.7805159127793	4998	139	0.05	271.97564489097414	2332	4757	696	1409	1	GA_CrossoverC_MutationC
[11, 7]	['0', [160.30650000000003, 500.8935]]	5.6419999999999995;12.038	0.5344147676567519	0.5344147676567519	1	289.6143108858343	4993	139	0.1	261.7678886072929	1773	2986	528	890	1	GA_CrossoverC_MutationC
[7, 10]	[[162.3375, 282.2625], '0']	5.6419999999999995;12.038	0.914843343991403	0.914843343991403	1	346.7604275802126	4993	144	0.1	333.2005344752657	953	953	284	284	1	GA_CrossoverP_MutationC
[11, 8, 4, 18, 10, 13, 1]	['0', '1', '0', '0', '0', '0', '0']	-1.0064499999999992;10.346449999999999	0.6625507631099224	0.6625507631099224	1	309.16140793418583	4861	144	0.35	286.20175991773226	122	157	36	47	1	GA_CrossoverP_MutationC
[7, 18]	[[-45.269999999999996, 81.258], '0']	-4.077;5.5169999999999995	0.9238104361000273	0.9238104361000273	1	335.9521853139628	4991	145	0.1	335.9521853139628	482	482	142	142	1	GA_CrossoverC_MutationC
[7, 11, 6]	[[-45.269999999999996, 113.71991414946034], '0', '1']	-2.9178999999999995;5.5169999999999995	0.9312375632497584	0.9312375632497584	1	293.1826025026489	4913	145	0.15	293.1826025026489	150	150	44	44	1	GA_CrossoverC_MutationC
[7, 11, 2]	[[-45.269999999999996, 81.258], '0', '0']	-4.077;5.5169999999999995	0.9212244721916716	0.9212244721916716	1	332.5351286099435	4991	151	0.15	332.5351286099435	689	689	203	203	1	GA_MutationC
[13, 6]	['0', '1']	-4.077;5.5169999999999995	0.29469945704701794	0.29469945704701794	1	302.20309595741867	4913	151	0.1	302.20309595741867	95	294	28	88	1	GA_MutationC
[7, 11, 8, 18, 6]	[[-45.269999999999996, 113.71991414946034], '0', '0', '0', '1']	-2.9178999999999995;5.5169999999999995	0.935605586825099	0.935605586825099	1	304.5076341743013	4913	152	0.25	304.5076341743013	50	50	15	15	1	GA_CrossoverC_MutationC
[7, 11, 4, 6, 8]	[[-45.269999999999996, 199.6875], '0', '0', '1', '0']	-2.84765;4.66765	0.6043360433604337	0.6043360433604337	1	280.84757112221604	4913	152	0.25	280.84757112221604	103	161	31	48	1	GA_CrossoverC_MutationC
[7, 8, 4, 6, 18]	[[-45.269999999999996, 80.358], '0', '1', '0', '1']	-2.6678999999999995;4.047899999999999	0.9621493902439024	0.9621493902439024	1	290.30701571580005	4941	160	0.25	290.30701571580005	28	28	8	8	1	GA_MutationC
[7, 4, 13, 6, 18]	[[-45.269999999999996, 80.358], '1', '1', '0', '1']	-2.6678999999999995;4.047899999999999	0.9651031894934334	0.9651031894934334	1	240.9293481532348	4836	160	0.25	240.9293481532348	18	18	5	5	1	GA_MutationC
[7, 8]	[[367.563, 530.37], '0']	12.3613;16.5187	0.9392558079426948	0.9392558079426948	6	281.9573617529403	4990	162	0.1	1691.7441705176418	909	909	271	271	1	GA_CrossoverC_MutationC_RangeError
[7, 6, 17]	[[346.54949999999997, 504.8505], '0', '1']	12.3613;16.5187	0.8235982741406361	0.8235982741406361	1	239.56415180693915	4956	162	0.15	239.56415180693915	329	376	100	114	1	GA_CrossoverC_MutationC
[11, 2, 7]	['0', '0', [-45.269999999999996, 208.9995]]	-4.077;5.5169999999999995	0.6881755157772154	0.6881755157772154	1	289.0434274111528	4991	168	0.15	289.0434274111528	1399	1868	412	551	1	GA_CrossoverP_MutationC
[7, 8]	[[-45.269999999999996, 81.258], '0']	-4.077;5.5169999999999995	0.9201053513384138	0.9201053513384138	1	344.69698751624856	4991	168	0.1	344.69698751624856	544	544	162	162	1	GA_CrossoverP_MutationC
