Explore_Iteration	MacroPopSize	MicroPopSize	Accuracy_Estimate	AveGenerality	ExpRules	Time(min)
1000	344	399	0.9073277630742421	0.8774436090225557	0.0	0.018125736713409425
2000	705	837	0.9069533119798282	0.8726403823178016	0.27375886524822696	0.06493840217590333
3000	1109	1327	0.92593753763882	0.8723059532780727	0.4905320108205591	0.14244142373402913
4000	1518	1840	0.9336922975096814	0.8717119565217407	0.6093544137022397	0.2583067297935486
5000	1651	2000	0.9361825811380377	0.8732750000000045	0.7032101756511205	0.41252967913945515
6000	1669	2000	0.9398105959412837	0.8773500000000074	0.7237866986219293	0.7268309712409973
7000	1621	2000	0.939481052517372	0.881175000000007	0.7513880320789637	0.8876481453577677
8000	1590	2000	0.9327579688046848	0.8838250000000074	0.7672955974842768	1.0422019203503927
9000	1571	2000	0.9302318003015294	0.8880500000000074	0.7886696371737747	1.1868521213531493
10000	1539	2000	0.9298747843193914	0.8920500000000068	0.8141650422352177	1.3277095953623455
